"Legal Name","Website"
"Grassfed Ventures","https://www.grassfedventures.com/"
"Daupler","www.daupler.com"
"Tailscale","https://tailscale.com/"
"Manam Applications","manamapps.com"
"Campayn","https://www.campayn.com/home"
"Pathway","https://www.pathwayport.com/"
"ClearLink Media","http://www.clearlinkmedia.com/"
"Impact Group",""
"Felix Health","https://www.felixforyou.ca/"
"Autotech Ventures","http://autotechvc.com/"
"BDC Venture Capital",""
"Builders VC",""
"Frontier Growth","https://frontiergrowth.com/"
"Yaletown Partners Inc.",""
"RSM Canada LLP",""
"BridgeCo Capital Inc.",""
"Alberta Economic Development, Trade and Tourism",""
"Carta",""
"Andrea Drager",""
"The A100 & Accelerate Fund II",""
"VCAA/AEC",""
"BDC Industrial Innovation Venture Fund",""
"Northleaf Capital",""
"PFM Capital Inc.",""
"ATB Financial",""
"Innovate Edmonton",""
"Lumira Ventures",""
"BDC - Cleantech Practice",""
"Kirchner Group",""
"Borden Ladner Gervais LLP",""
"Torys",""
"GFC",""
"BLG",""
"NACO",""
"OKR Financial",""
"BDC",""
"PillarFour Capital",""
"ARC Financial Corp.",""
"Zinobe","http://www.zinobe.com/"
"CoinSquare","https://coinsquare.io/"
"Connected Interactive","https://www.connectedinteractive.com/"
"Go2Mobi","https://www.go2mobi.com/index.html"
"CorpoBids","https://corpobids.com/home"
"Candid.io","http://www.candid.io/"
"Cluep","https://cluep.com/"
"Contobox (Crucial Interactive)","https://www.advertisers.contobox.com/"
"DocketManager","https://docketmanager.ca/"
"DryRun","https://dryrun.com/"
"Ecopia","https://www.ecopiatech.com/"
"Harbourvest",""
"Morningside Capital Management Inc.",""
"BCF Ventures - General Partner","https://bcfventures.vc/"
"BDC Capital - General Partner","http://www.bdcnewengland.com/"
"Brightspark Ventures - General Partner","http://brightspark.com/"
"CIC Capital Canada - General Partner","http://ciccapital.fund/ca/en/home/"
"Cycle Capital Management/Ecofuel - General Partner","http://www.cyclecapital.com/"
"Desautels Capital Management - Partners (Service Providers)","https://www.desautelscapital.ca/"
"Fondaction - General Partner","https://www.fondaction.com/"
"Inovia Capital Inc. - General Partner","https://www.inovia.vc/"
"Bringoz","https://www.bringoz.com/"
"Lavery, de Billy - Partners (Service Providers)","https://www.lavery.ca/en/home.html"
"Luge Capital - General Partner","https://www.luge.vc/"
"MacKinnon, Bennett & Co. - General Partner","http://www.mkbandco.com/"
"Persistence Capital Partners - General Partner","https://www.persistencecapital.com/"
"Real Ventures - General Partner","https://realventures.com/"
"Sanderling Ventures - General Partner","http://www.sanderling.com/"
"Teralys Capital Inc. - Limited Partner","http://www.teralyscapital.com/en/"
"White Star Capital - General Partner","https://whitestarvc.com/"
