Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Founders,Website,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Type
EnsoData,https://www.crunchbase.com/organization/ensodata,"Artificial Intelligence, Health Care, Information Technology, Machine Learning, Software","Madison, Wisconsin, United States",EnsoData is a startup that utilizes artificial intelligence to analyze the human body to diagnose health conditions.,"Brock Hensen, Chris Fernandez, Nick Glattard, Sam Rusk",https://www.ensodata.com,11050000,USD,11050000,Series A
4Degrees,https://www.crunchbase.com/organization/4degrees,"Computer, Computer Vision, Internet, Machine Learning","Chicago, Illinois, United States","AI-enabled relationship management platform, built for relationship driven industries.","Ablorde Ashigbi, David Vandegrift",https://4degrees.ai,1000000,USD,1000000,Seed
Upsie,https://www.crunchbase.com/organization/upsie,"Apps, Mobile, Security","Minneapolis, Minnesota, United States","Upsie saves you up to 70% on warranties for your electronic devices and appliances, Protecting your stuff.",Clarence Bethea,http://www.upsie.com,8180000,USD,8180000,Series A
Civic Eagle,https://www.crunchbase.com/organization/civic-eagle,"B2B, SaaS, Software","Minneapolis, Minnesota, United States",Software that helps orgs and companies discover and analyze legislation and regulations with no manual work,"Damola Ogundipe, Yemi Adewunmi",https://www.civiceagle.com,2250000,USD,2250000,Seed
Five to Nine,https://www.crunchbase.com/organization/five-to-nine,"B2B, Communities, Employee Benefits, Millennials, SaaS, Social","Chicago, Illinois, United States",Five to Nine is a culture engagement solution that increases workplace connectivity and inclusion. ,"Denise Umubyeyi, Jasmine Shells",http://fivetonine.co,175000,USD,175000,Seed
ToDoolie,https://www.crunchbase.com/organization/todoolie,"Apps, Developer Platform, Internet, Mobile, Mobile Apps, PaaS, Virtual Workforce","Detroit, Michigan, United States",ToDoolie is a social platform that allows users to hire local students to help with simple outdoor tasks.,"Armando Arteaga, Jose Romo-Puerta, Sergio Rodriguez",https://www.todoolie.com,425000,USD,425000,Pre-Seed
Joshin,https://www.crunchbase.com/organization/joshin,"Apps, Health Care, Messaging","Minnesota City, Minnesota, United States",Joshin offers a disability care app that connects individuals to a network of experienced and screened caregivers.,"Melanie Fountaine, Melissa Danielsen",https://joshin.com/,1550000,USD,1550000,Seed
Algo,https://www.crunchbase.com/organization/algomus-inc,"Analytics, Artificial Intelligence, Augmented Reality, Big Data, Business Intelligence, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Supply Chain Management","Troy, Michigan, United States",Enterprise AI and Workflow Automation platform delivered by a Virtual Business Analyst bot named Algo.,Amjad Hussain,https://algo.com,15000000,USD,15000000,Series A
TestCompanyBen,https://www.crunchbase.com/organization/randomrandomURLsfsdhjfskjdfhksjdfkjsdf,"Apps, Health Care, Messaging","Troy, Michigan, United States",Enterprise AI and Workflow Automation platform delivered by a Virtual Business Analyst bot named Algo.,Amjad Hussain,https://algo.com,15000000,USD,15000000,Series A
TestCompany2,https://www.crunchbase.com/organization/randomrandomURLsfsdhjfskjdfhksjdfkjsdf,"Apps, Health Care, Messaging, Hardware","Troy, Michigan, United States",Enterprise AI and Workflow Automation platform delivered by a Virtual Business Analyst bot named Algo.,Amjad Hussain,https://algo.com,15000000,USD,15000000,Series A
